new2kid,sr_chg_perc,sr_chg_ha
20549,0,0
21199,0,0
21200,0,0
21849,0,0
21850,0,0
21851,0,0
21852,0,0
22499,0,0
22500,0,0
22501,0,0
22502,0,0
23150,0,0
23151,0,0
23184,0,0
23185,0,0
23809,0,0
23810,0,0
23811,0,0
23812,0,0
23813,0,0
23814,0,0
23815,0,0
23833,0,0
23834,0,0
23835,0,0
23836,0,0
23837,0,0
24457,0,0
24458,0,0
24459,0,0
24460,0,0
24461,4,0.0363703814161899
24462,5,0.0374558489180878
24463,4,0.035410231963577
24464,4,0.0328510255268894
24465,0,0
24466,0,0
24467,0,0
24468,0,0
24471,0,0
24472,0,0
24484,0,0
24485,5,0.0399762381240591
24486,0,0
24487,0,0
25107,0,0
25108,0,0
25110,0,0
25111,5,0.0386125432074358
25112,5,0.0381153339513099
25113,1,0.0102175729994503
25114,2,0.0261886024583241
25115,3,0.0266136758809127
25116,4,0.0314503980047868
25117,5,0.0418249042209693
25118,0,0
25119,0,0
25120,0,0
25121,0,0
25122,0,0
25123,0,0
25125,0,0
25126,0,0
25127,0,0
25133,0,0
25134,0,0
25135,4,0.0364578965981137
25136,0,0
25757,0,0
25758,0,0
25760,0,0
25761,3,0.0254244182893095
25762,0,0
25763,0,0
25764,0,0
25765,4,0.0307530499337272
25766,4,0.0303398058252427
25767,4,0.0312429215255919
25768,3,0.0337656081523684
25769,5,0.0458651637569807
25770,20,0.180637306480996
25771,36,0.488831556792722
25772,0,0
25773,0,0
25775,0,0
25776,5,0.0447651218819973
25777,0,0
25778,0,0
25782,0,0
25783,0,0
25784,6,0.0408242969885957
25785,4,0.0369153530953524
25786,0,0
26407,0,0
26408,0,0
26409,0,0
26410,0,0
26411,0,0
26412,0,0
26414,0,0
26415,5,0.0379781640747836
26416,5,0.0379247572815534
26417,5,0.0379841074494432
26418,4,0.0330679082563953
26419,5,0.0423296907223477
26420,0,0
26421,0,0
26422,0,0
26424,0,0
26425,0,0
26426,5,0.0430913009867046
26427,0,0
26431,0,0
26432,0,0
26433,4,0.0363963931174421
26434,5,0.0380078995618449
26435,6,0.0458536108190066
26436,0,0
26437,0,0
27057,0,0
27060,0,0
27064,0,0
27065,0,0
27066,0,0
27067,3,0.022754854368932
27068,0,0
27069,0,0
27070,0,0
27074,0,0
27075,0,0
27076,0,0
27077,0,0
27080,0,0
27081,0,0
27082,0,0
27083,0,0
27084,5,0.0404395945688007
27085,6,0.0459694027655193
27086,0,0
27087,0,0
27716,0,0
27717,0,0
27718,0,0
27724,0,0
27726,0,0
27728,0,0
27730,0,0
27731,0,0
27733,0,0
27734,3,0.0452973772818554
27735,4,0.0382233774176286
27736,0,0
28367,0,0
28374,0,0
28379,0,0
28380,0,0
28381,0,0
28382,0,0
28383,0,0
28384,4,0.0411561588133856
28385,3,0.0390955887144067
28386,0,0
28387,0,0
29029,0,0
29030,4,0.0491208594185564
29031,0,0
29032,5,0.0498907392809747
29033,4,0.0394744373412387
29034,0,0
29035,0,0
29036,0,0
29037,0,0
29038,0,0
29679,0,0
29680,0,0
29681,0,0
29682,0,0
29683,0,0
29684,0,0
29688,0,0
30332,0,0
30333,0,0
30336,0,0
30920,0,0
30921,0,0
30922,0,0
30923,0,0
30985,0,0
30986,0,0
31569,0,0
31570,0,0
31571,0,0
31572,15,0.0424940494166134
31573,0,0
31636,0,0
31646,0,0
32221,0,0
32222,0,0
32223,0,0
32294,0,0
32295,0,0
32312,0,0
32313,0,0
32872,0,0
32873,0,0
32943,0,0
32944,0,0
32945,0,0
32946,0,0
32954,0,0
32955,0,0
32956,0,0
32960,0,0
32961,0,0
32962,0,0
32963,0,0
32964,0,0
32965,0,0
32966,0,0
33522,0,0
33523,0,0
33592,0,0
33593,0,0
33594,4,0.0321428169643359
33595,5,0.0379247572815534
33596,0,0
33604,0,0
33605,4,0.0294870216560059
33606,0,0
33607,0,0
33608,0,0
33610,0,0
33611,4,0.03036352733097
33612,4,0.030699566368625
33613,4,0.0331525964284708
33614,2,0.0166074886487815
33615,0,0
33617,0,0
34241,0,0
34242,0,0
34243,4,0.030821390044691
34244,3,0.0302390091281489
34245,3,0.0267114944903091
34246,0,0
34247,0,0
34248,0,0
34254,0,0
34255,3,0.022754854368932
34256,3,0.0228548443128005
34257,0,0
34258,0,0
34259,0,0
34260,0,0
34261,2,0.0158821165779121
34262,4,0.0303540342788109
34263,4,0.0305642621252248
34264,3,0.0233308343417438
34265,0,0
34266,0,0
34267,0,0
34268,0,0
34892,0,0
34893,0,0
34894,0,0
34895,4,0.0307092768118857
34896,3,0.0229484821873881
34897,3,0.0231233832901183
34898,0,0
34903,0,0
34904,0,0
34905,2,0.0165847930715368
34906,3,0.0231307287104773
34907,0,0
34909,0,0
34910,1,0.00901126588460894
34911,2,0.0152317820271065
34912,2,0.0162326331116497
34913,2,0.0174774759029301
34914,2,0.0230940482018974
34915,3,0.029219716685627
34916,3,0.0233009708737864
34917,0,0
34918,0,0
35544,0,0
35545,0,0
35546,5,0.037995999781143
35547,4,0.0307481800920908
35548,0,0
35549,0,0
35550,0,0
35553,0,0
35554,3,0.0229376386771405
35555,3,0.0228369245665932
35556,1,0.00761469636398249
35557,0,0
35558,0,0
35559,0,0
35560,1,0.00854040980302399
35561,2,0.0154548517416072
35562,2,0.0159683188553909
35563,2,0.0211381185806176
35564,1,0.00848962737327533
35565,0,0
35566,0,0
35567,0,0
36195,0,0
36196,0,0
36197,3,0.0232340567902305
36198,3,0.0232340567902305
36199,0,0
36202,0,0
36203,0,0
36204,3,0.0233607744563948
36205,1,0.00770534751117275
36206,1,0.00817371431560673
36207,2,0.0151699029126214
36208,2,0.0158097017815953
36209,1,0.00837393295159364
36210,2,0.0154401047456706
36211,2,0.0153789606590807
36212,2,0.0153013993129672
36213,2,0.0169703510995939
36214,0,0
36215,0,0
36776,0,0
36846,0,0
36847,3,0.0242839866535209
36848,4,0.031384315060862
36849,0,0
36851,0,0
36852,0,0
36853,2,0.0154302890401743
36854,3,0.022754854368932
36855,2,0.0154058042908246
36856,2,0.0156139238727528
36857,2,0.0151699029126214
36858,2,0.0151699029126214
36859,1,0.00776699029126214
36860,1,0.00798810092486233
36861,1,0.00811684358680071
36862,1,0.0123051176984508
36863,1,0.0125663187471883
36864,0,0
37426,0,0
37427,0,0
37473,0,0
37474,0,0
37496,0,0
37497,0,0
37498,0,0
37499,0,0
37500,0,0
37501,0,0
37502,2,0.0171836068390755
37503,3,0.022754854368932
37504,2,0.0153546384059429
37505,2,0.0152198430225391
37506,1,0.00894155264696783
37507,1,0.0113872130706987
37508,1,0.00915918666422422
37509,2,0.0154131415527507
37510,2,0.0155863507209467
37511,2,0.0152341720760673
37512,2,0.0160634312774283
37513,2,0.0156390751676509
37514,0,0
37515,0,0
38026,0,0
38077,0,0
38078,0,0
38120,0,0
38121,0,0
38122,0,0
38123,0,0
38124,0,0
38125,0,0
38126,0,0
38127,0,0
38146,0,0
38147,0,0
38150,0,0
38151,3,0.022754854368932
38152,2,0.0158148523604458
38153,3,0.0228440890919475
38154,2,0.015246133580524
38155,0,0
38156,1,0.00758495145631068
38157,0,0
38158,1,0.0127177598429102
38159,2,0.0206965207079038
38160,2,0.0197291970414096
38161,3,0.0238348720067373
38162,1,0.00816134655689111
38163,2,0.0162380629939416
38164,2,0.0193671212130015
38165,0,0
38166,0,0
38676,0,0
38677,0,0
